               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.021688,            0.015814,           0.0022826,             0.99718,             0.99585,             0.99497,             0.75029,            0.018924,            0.011415,           0.0014246,           0.0098317,           0.0098317,           0.0098317
                  36,            0.022912,            0.015909,           0.0020617,             0.99887,             0.99516,             0.99492,             0.74088,            0.020151,            0.011572,           0.0012284,           0.0098268,           0.0098268,           0.0098268
                  37,            0.022064,            0.016572,           0.0023674,             0.99719,             0.99212,             0.99489,             0.75055,            0.019581,            0.011631,           0.0013096,           0.0098218,           0.0098218,           0.0098218
                  38,            0.023112,            0.015957,           0.0022938,             0.99789,              0.9963,             0.99455,              0.7554,            0.019561,            0.011637,           0.0011924,           0.0098169,           0.0098169,           0.0098169
                  39,            0.022706,            0.016466,           0.0021846,             0.99668,             0.99339,             0.99497,             0.75651,            0.018377,            0.011402,           0.0011449,           0.0098119,           0.0098119,           0.0098119
                  40,            0.021991,             0.01586,           0.0022655,             0.99777,             0.99387,             0.99499,             0.75766,            0.018817,            0.011541,           0.0012617,            0.009807,            0.009807,            0.009807
                  41,            0.020828,            0.015618,           0.0021403,              0.9951,             0.99446,             0.99496,             0.76966,            0.018058,            0.011295,           0.0012443,            0.009802,            0.009802,            0.009802
                  42,            0.021269,            0.015163,           0.0021766,             0.99833,             0.99377,             0.99499,             0.77838,            0.017528,            0.011188,           0.0011904,            0.009797,            0.009797,            0.009797
                  43,            0.021966,            0.015485,            0.002051,             0.99343,             0.99668,             0.99494,             0.77557,             0.01772,            0.011267,           0.0014177,           0.0097921,           0.0097921,           0.0097921
                  44,            0.021543,            0.015328,           0.0022474,             0.99307,             0.99628,             0.99493,             0.77887,            0.017857,            0.011207,           0.0012687,           0.0097871,           0.0097871,           0.0097871
                  45,            0.020686,            0.014954,           0.0020595,             0.99734,             0.99446,             0.99429,             0.77559,            0.017685,            0.011268,           0.0012496,           0.0097822,           0.0097822,           0.0097822
                  46,            0.021209,            0.015545,           0.0019295,             0.99841,             0.99342,             0.99492,             0.77534,            0.018208,            0.011202,            0.001002,           0.0097773,           0.0097773,           0.0097773
                  47,            0.021294,            0.015206,           0.0019732,             0.99779,             0.99557,             0.99492,              0.7809,            0.017679,             0.01113,           0.0011374,           0.0097723,           0.0097723,           0.0097723
