               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 150,            0.017255,            0.013658,           0.0014037,             0.99852,             0.99508,             0.99481,             0.77831,            0.017433,            0.011248,          0.00093072,           0.0092625,           0.0092625,           0.0092625
                 151,            0.017714,            0.013428,           0.0012394,             0.99731,             0.99778,             0.99499,             0.76519,            0.017835,            0.011194,          0.00080851,           0.0092575,           0.0092575,           0.0092575
                 152,            0.017222,            0.013953,           0.0013847,             0.99856,             0.99714,             0.99498,               0.779,            0.017808,            0.011283,          0.00085894,           0.0092526,           0.0092526,           0.0092526
                 153,            0.016628,            0.013162,            0.001417,              0.9968,             0.99777,             0.99498,             0.77322,            0.017799,             0.01164,          0.00089736,           0.0092476,           0.0092476,           0.0092476
                 154,            0.016541,            0.013424,           0.0013969,              0.9985,             0.99278,             0.99475,             0.78047,            0.017756,            0.011178,          0.00094251,           0.0092426,           0.0092426,           0.0092426
                 155,            0.017791,            0.013574,           0.0013274,             0.99873,             0.99402,             0.99493,             0.78383,            0.016963,            0.010998,           0.0008105,           0.0092377,           0.0092377,           0.0092377
                 156,            0.016709,            0.013555,            0.001273,             0.99823,             0.99776,             0.99492,             0.78943,             0.01693,            0.011023,          0.00078127,           0.0092327,           0.0092327,           0.0092327
                 157,            0.017054,            0.013609,           0.0011561,             0.99747,             0.99689,             0.99424,             0.78173,            0.017255,            0.011205,          0.00082549,           0.0092278,           0.0092278,           0.0092278
                 158,            0.016854,            0.013309,           0.0014116,             0.99682,             0.99779,             0.99484,             0.78265,            0.016991,            0.011213,          0.00085687,           0.0092229,           0.0092229,           0.0092229
                 159,            0.017219,            0.013763,           0.0012152,              0.9962,             0.99779,             0.99467,             0.77745,            0.017572,             0.01115,          0.00080573,           0.0092179,           0.0092179,           0.0092179
                 160,            0.016851,            0.013129,           0.0012813,             0.99851,             0.99541,             0.99499,             0.78157,            0.017587,            0.011147,          0.00090898,           0.0092129,           0.0092129,           0.0092129
                 161,            0.016662,            0.013686,           0.0012795,             0.99869,             0.99549,             0.99489,             0.79253,             0.01703,            0.011171,          0.00091171,            0.009208,            0.009208,            0.009208
                 162,            0.017164,            0.013361,           0.0013846,             0.99847,              0.9955,             0.99438,             0.79418,             0.01693,            0.011038,          0.00082683,           0.0092031,           0.0092031,           0.0092031
                 163,            0.017404,             0.01347,           0.0013582,             0.99866,             0.99557,             0.99498,             0.78931,            0.017046,               0.011,            0.000833,           0.0091981,           0.0091981,           0.0091981
                 164,            0.017592,            0.013911,           0.0013425,             0.99618,             0.99619,             0.99486,             0.78988,            0.017033,            0.011009,          0.00088064,           0.0091932,           0.0091932,           0.0091932
                 165,            0.016935,            0.013456,           0.0014356,               0.997,             0.99666,             0.99475,             0.78902,            0.017079,            0.011126,          0.00089281,           0.0091882,           0.0091882,           0.0091882
                 166,            0.016698,            0.012792,           0.0013489,             0.99594,             0.99751,             0.99496,             0.78652,             0.01706,            0.011063,          0.00088747,           0.0091833,           0.0091833,           0.0091833
                 167,            0.016566,            0.013145,           0.0015229,             0.99778,             0.99466,             0.99493,              0.7827,            0.017466,            0.011245,          0.00091569,           0.0091783,           0.0091783,           0.0091783
                 168,            0.016695,            0.013718,           0.0014625,             0.99865,             0.99446,             0.99498,             0.78117,            0.017789,            0.011332,           0.0009034,           0.0091734,           0.0091734,           0.0091734
                 169,            0.016886,            0.013475,           0.0014932,             0.98811,             0.99627,             0.99498,             0.77808,            0.017582,            0.011283,           0.0012487,           0.0091684,           0.0091684,           0.0091684
                 170,            0.016726,            0.013448,           0.0012453,             0.99848,             0.99493,             0.99498,             0.78634,            0.016979,            0.011062,           0.0008351,           0.0091635,           0.0091635,           0.0091635
                 171,            0.017022,            0.013212,           0.0014404,              0.9983,             0.99335,              0.9949,             0.77665,             0.01783,             0.01126,          0.00090862,           0.0091585,           0.0091585,           0.0091585
                 172,            0.017266,            0.013745,           0.0013167,             0.99777,              0.9962,             0.99491,             0.77846,            0.017309,            0.011188,          0.00081286,           0.0091535,           0.0091535,           0.0091535
                 173,            0.017235,             0.01358,           0.0012291,             0.99772,             0.99533,             0.99492,             0.78661,            0.017077,            0.011094,          0.00082416,           0.0091486,           0.0091486,           0.0091486
                 174,            0.016464,            0.013194,           0.0013128,             0.99762,             0.99557,             0.99498,             0.78688,            0.016987,            0.011259,          0.00082464,           0.0091436,           0.0091436,           0.0091436
                 175,            0.016395,            0.013171,           0.0013019,             0.99757,             0.99557,             0.99491,             0.78688,            0.016919,            0.011091,          0.00085722,           0.0091387,           0.0091387,           0.0091387
                 176,            0.017054,            0.014049,           0.0013621,             0.99647,             0.99667,             0.99496,             0.79099,            0.017048,            0.011146,          0.00084592,           0.0091337,           0.0091337,           0.0091337
                 177,            0.016854,            0.013218,           0.0013613,             0.99629,             0.99633,             0.99499,             0.78371,            0.017435,             0.01134,          0.00088033,           0.0091288,           0.0091288,           0.0091288
                 178,            0.016361,            0.013747,           0.0015709,             0.99756,             0.99527,             0.99486,             0.78796,            0.017176,            0.011186,          0.00085251,           0.0091239,           0.0091239,           0.0091239
                 179,            0.016414,            0.013124,           0.0012096,             0.99868,              0.9952,              0.9946,             0.78738,             0.01725,            0.011199,          0.00077904,           0.0091189,           0.0091189,           0.0091189
                 180,            0.016192,            0.013087,           0.0013736,             0.99824,             0.99778,             0.99486,             0.78303,            0.017418,            0.011424,           0.0008047,           0.0091139,           0.0091139,           0.0091139
                 181,            0.016404,            0.013112,           0.0014367,             0.99743,             0.99667,             0.99492,             0.77708,            0.017228,            0.011254,          0.00084441,            0.009109,            0.009109,            0.009109
                 182,            0.016676,            0.013168,           0.0011884,              0.9978,             0.99779,             0.99467,             0.78216,            0.017443,            0.011261,          0.00086811,           0.0091041,           0.0091041,           0.0091041
                 183,            0.017538,            0.013907,           0.0013135,             0.99866,             0.99552,             0.99492,              0.7732,            0.018213,            0.011387,          0.00087278,           0.0090991,           0.0090991,           0.0090991
                 184,            0.015817,            0.013382,           0.0012842,             0.99798,             0.99387,             0.99499,             0.78043,            0.017418,            0.011336,          0.00097738,           0.0090942,           0.0090942,           0.0090942
                 185,            0.016149,            0.012988,           0.0012435,             0.99878,             0.99133,             0.99479,             0.77904,            0.017344,             0.01118,           0.0011071,           0.0090892,           0.0090892,           0.0090892
                 186,            0.015973,            0.013314,           0.0013773,             0.99691,             0.99779,             0.99487,             0.77973,            0.017483,             0.01128,          0.00087838,           0.0090843,           0.0090843,           0.0090843
                 187,            0.016725,            0.013266,           0.0013761,              0.9979,             0.99668,             0.99494,             0.77572,            0.017612,            0.011562,          0.00083193,           0.0090793,           0.0090793,           0.0090793
